Date,MedicineName,Temperature,Timestamp,OptimalMin,OptimalMax,PotencyLoss
2026-08-19,Comirnaty,5.6,22:41:16,2,8,0.0
2026-08-19,Comirnaty,6.02,22:41:46,2,8,0.0
2026-08-19,Comirnaty,2.51,22:42:16,2,8,0.0
2026-08-19,Comirnaty,3.79,22:42:46,2,8,0.0
2026-08-19,Comirnaty,9.71,22:43:16,2,8,0.04
2026-08-19,Comirnaty,7.13,22:43:46,2,8,0.0
2026-08-19,Comirnaty,14.61,22:44:16,2,8,0.07
2026-08-19,Comirnaty,5.09,22:44:46,2,8,0.0
2026-08-19,Comirnaty,3.25,22:45:16,2,8,0.0
2026-08-19,Comirnaty,11.86,22:45:46,2,8,0.1
2026-08-19,Comirnaty,5.05,22:46:16,2,8,0.0
2026-08-19,Comirnaty,5.69,22:46:46,2,8,0.0
2026-08-19,Comirnaty,4.25,22:47:16,2,8,0.0
2026-08-19,Comirnaty,5.1,22:47:46,2,8,0.0
2026-08-19,Comirnaty,16.06,22:48:16,2,8,0.15
2026-08-19,Comirnaty,17.21,22:48:46,2,8,0.16
2026-08-19,Comirnaty,15.56,22:49:16,2,8,0.17
2026-08-19,Comirnaty,15.79,22:49:46,2,8,0.18
2026-08-19,Comirnaty,5.1,22:50:16,2,8,0.0
2026-08-19,Comirnaty,13.88,22:50:46,2,8,0.21
2026-08-19,Comirnaty,3.06,22:51:16,2,8,0.0
2026-08-19,Comirnaty,2.01,22:51:46,2,8,0.0
2026-08-19,Comirnaty,14.08,22:52:16,2,8,0.24
2026-08-19,Comirnaty,3.85,22:52:46,2,8,0.0
2026-08-19,Comirnaty,2.15,22:53:16,2,8,0.0
2026-08-19,Comirnaty,6.55,22:53:46,2,8,0.0
2026-08-19,Comirnaty,6.23,22:54:16,2,8,0.0
2026-08-19,Comirnaty,5.79,22:54:46,2,8,0.0
2026-08-19,Comirnaty,5.85,22:55:16,2,8,0.0
2026-08-19,Comirnaty,15.49,22:55:46,2,8,0.31
2026-08-19,Comirnaty,7.92,22:56:16,2,8,0.0
2026-08-19,Comirnaty,7.32,22:56:46,2,8,0.0
2026-08-19,Comirnaty,11.5,22:57:16,2,8,0.35
2026-08-19,Comirnaty,15.41,22:57:46,2,8,0.36
2026-08-19,Comirnaty,5.51,22:58:16,2,8,0.0
2026-08-19,Comirnaty,16.0,22:58:46,2,8,0.38
2026-08-19,Comirnaty,4.51,22:59:16,2,8,0.0
2026-08-19,Comirnaty,5.77,22:59:46,2,8,0.0
2026-08-19,Comirnaty,5.66,23:00:16,2,8,0.0
2026-08-19,Comirnaty,5.83,23:00:46,2,8,0.0
2026-08-19,Comirnaty,13.11,23:01:16,2,8,0.43
2026-08-19,Comirnaty,10.27,23:01:46,2,8,0.44
2026-08-19,Comirnaty,12.66,23:02:16,2,8,0.45
2026-08-19,Comirnaty,16.91,23:02:46,2,8,0.47
2026-08-19,Comirnaty,15.81,23:03:16,2,8,0.48
2026-08-19,Comirnaty,3.9,23:03:46,2,8,0.0
2026-08-19,Comirnaty,4.96,23:04:16,2,8,0.0
2026-08-19,Comirnaty,9.22,23:04:46,2,8,0.51
2026-08-19,Comirnaty,6.05,23:05:16,2,8,0.0
2026-08-19,Comirnaty,5.97,23:05:46,2,8,0.0
2026-08-19,Comirnaty,7.39,23:06:16,2,8,0.0
2026-08-19,Comirnaty,7.44,23:06:46,2,8,0.0
2026-08-19,Comirnaty,3.82,23:07:16,2,8,0.0
2026-08-19,Comirnaty,4.6,23:07:46,2,8,0.0
2026-08-19,Comirnaty,4.88,23:08:16,2,8,0.0
2026-08-19,Comirnaty,7.43,23:08:46,2,8,0.0
2026-08-19,Comirnaty,2.29,23:09:16,2,8,0.0
2026-08-19,Comirnaty,6.12,23:09:46,2,8,0.0
2026-08-19,Comirnaty,13.68,23:10:16,2,8,0.63
2026-08-19,Comirnaty,11.0,23:10:46,2,8,0.64
2026-08-19,Comirnaty,6.75,23:11:16,2,8,0.0
2026-08-19,Comirnaty,7.18,23:11:46,2,8,0.0
2026-08-19,Comirnaty,5.71,23:12:16,2,8,0.0
2026-08-19,Comirnaty,4.51,23:12:46,2,8,0.0
2026-08-19,Comirnaty,15.43,23:13:16,2,8,0.69
2026-08-19,Comirnaty,6.28,23:13:46,2,8,0.0
2026-08-19,Comirnaty,10.54,23:14:16,2,8,0.72
2026-08-19,Comirnaty,2.66,23:14:46,2,8,0.0
2026-08-19,Comirnaty,4.89,23:15:16,2,8,0.0
2026-08-19,Comirnaty,4.16,23:15:46,2,8,0.0
2026-08-19,Comirnaty,2.54,23:16:16,2,8,0.0
2026-08-19,Comirnaty,12.31,23:16:46,2,8,0.77
2026-08-19,Comirnaty,5.02,23:17:16,2,8,0.0
2026-08-19,Comirnaty,6.79,23:17:46,2,8,0.0
2026-08-19,Comirnaty,9.62,23:18:16,2,8,0.8
2026-08-19,Comirnaty,13.89,23:18:46,2,8,0.81
2026-08-19,Comirnaty,12.38,23:19:16,2,8,0.82
2026-08-19,Comirnaty,16.02,23:19:46,2,8,0.83
2026-08-19,Comirnaty,3.19,23:20:16,2,8,0.0
2026-08-19,Comirnaty,15.13,23:20:46,2,8,0.86
2026-08-19,Comirnaty,15.07,23:21:16,2,8,0.87
2026-08-19,Comirnaty,7.76,23:21:46,2,8,0.0
2026-08-19,Comirnaty,15.66,23:22:16,2,8,0.89
2026-08-19,Comirnaty,17.53,23:22:46,2,8,0.9
2026-08-19,Comirnaty,6.87,23:23:16,2,8,0.0
2026-08-19,Comirnaty,3.47,23:23:46,2,8,0.0
2026-08-19,Comirnaty,12.48,23:24:16,2,8,0.93
2026-08-19,Comirnaty,4.0,23:24:46,2,8,0.0
2026-08-19,Comirnaty,10.19,23:25:16,2,8,0.95
2026-08-19,Comirnaty,3.58,23:25:46,2,8,0.0
2026-08-19,Comirnaty,3.76,23:26:16,2,8,0.0
2026-08-19,Comirnaty,13.91,23:26:46,2,8,0.99
2026-08-19,Comirnaty,3.35,23:27:16,2,8,0.0
2026-08-19,Comirnaty,7.48,23:27:46,2,8,0.0
2026-08-19,Comirnaty,15.13,23:28:16,2,8,1.02
2026-08-19,Comirnaty,5.25,23:28:46,2,8,0.0
2026-08-19,Comirnaty,4.07,23:29:16,2,8,0.0
2026-08-19,Comirnaty,5.53,23:29:46,2,8,0.0
2026-08-19,Comirnaty,7.59,23:30:16,2,8,0.0
2026-08-19,Comirnaty,7.76,23:30:46,2,8,0.0
2026-08-19,Comirnaty,2.65,23:31:16,2,8,0.0
2026-08-19,Comirnaty,6.58,23:31:46,2,8,0.0
2026-08-19,Comirnaty,17.52,23:32:16,2,8,1.1
2026-08-19,Comirnaty,16.25,23:32:46,2,8,1.12
2026-08-19,Comirnaty,2.97,23:33:16,2,8,0.0
2026-08-19,Comirnaty,4.06,23:33:46,2,8,0.0
2026-08-19,Comirnaty,6.4,23:34:16,2,8,0.0
2026-08-19,Comirnaty,13.73,23:34:46,2,8,1.16
2026-08-19,Comirnaty,7.51,23:35:16,2,8,0.0
2026-08-19,Comirnaty,6.49,23:35:46,2,8,0.0
2026-08-19,Comirnaty,7.32,23:36:16,2,8,0.0
2026-08-19,Comirnaty,9.05,23:36:46,2,8,1.2
2026-08-19,Comirnaty,4.19,23:37:16,2,8,0.0
2026-08-19,Comirnaty,16.48,23:37:46,2,8,1.22
2026-08-19,Comirnaty,4.73,23:38:16,2,8,0.0
2026-08-19,Comirnaty,4.62,23:38:46,2,8,0.0
2026-08-19,Comirnaty,6.3,23:39:16,2,8,0.0
2026-08-19,Comirnaty,5.44,23:39:46,2,8,0.0
2026-08-19,Comirnaty,3.56,23:40:16,2,8,0.0
2026-08-19,Comirnaty,10.27,23:40:46,2,8,1.29
2026-08-19,Comirnaty,17.73,23:41:16,2,8,1.3
2026-08-19,Comirnaty,7.68,23:41:46,2,8,0.0
2026-08-19,Comirnaty,5.65,23:42:16,2,8,0.0
2026-08-19,Comirnaty,15.87,23:42:46,2,8,1.33
2026-08-19,Comirnaty,2.76,23:43:16,2,8,0.0
2026-08-19,Comirnaty,5.66,23:43:46,2,8,0.0
2026-08-19,Comirnaty,4.84,23:44:16,2,8,0.0
2026-08-19,Comirnaty,6.26,23:44:46,2,8,0.0
2026-08-19,Comirnaty,6.69,23:45:16,2,8,0.0
2026-08-19,Comirnaty,3.73,23:45:46,2,8,0.0
2026-08-19,Comirnaty,4.77,23:46:16,2,8,0.0
2026-08-19,Comirnaty,6.63,23:46:46,2,8,0.0
2026-08-19,Comirnaty,14.57,23:47:16,2,8,1.43
2026-08-19,Comirnaty,2.23,23:47:46,2,8,0.0
2026-08-19,Comirnaty,5.95,23:48:16,2,8,0.0
2026-08-19,Comirnaty,5.31,23:48:46,2,8,0.0
2026-08-19,Comirnaty,5.85,23:49:16,2,8,0.0
2026-08-19,Comirnaty,2.31,23:49:46,2,8,0.0
2026-08-19,Comirnaty,4.01,23:50:16,2,8,0.0
2026-08-19,Comirnaty,15.71,23:50:46,2,8,1.51
2026-08-19,Comirnaty,2.37,23:51:16,2,8,0.0
2026-08-19,Comirnaty,10.81,23:51:46,2,8,1.53
2026-08-19,Comirnaty,6.91,23:52:16,2,8,0.0
2026-08-19,Comirnaty,2.36,23:52:46,2,8,0.0
2026-08-19,Comirnaty,2.06,23:53:16,2,8,0.0
2026-08-19,Comirnaty,5.94,23:53:46,2,8,0.0
2026-08-19,Comirnaty,16.21,23:54:16,2,8,1.58
2026-08-19,Comirnaty,15.31,23:54:46,2,8,1.59
2026-08-19,Comirnaty,3.66,23:55:16,2,8,0.0
2026-08-19,Comirnaty,3.55,23:55:46,2,8,0.0
2026-08-19,Comirnaty,15.49,23:56:16,2,8,1.62
2026-08-19,Comirnaty,12.16,23:56:46,2,8,1.64
2026-08-19,Comirnaty,6.04,23:57:16,2,8,0.0
2026-08-19,Comirnaty,2.07,23:57:46,2,8,0.0
2026-08-19,Comirnaty,4.98,23:58:16,2,8,0.0
2026-08-19,Comirnaty,3.27,23:58:46,2,8,0.0
2026-08-19,Comirnaty,17.0,23:59:16,2,8,1.69
2026-08-19,Comirnaty,3.32,23:59:46,2,8,0.0
2026-08-19,Comirnaty,2.01,00:00:16,2,8,0.0
2026-08-19,Comirnaty,11.14,00:00:46,2,8,1.72
2026-08-19,Comirnaty,6.16,00:01:16,2,8,0.0
2026-08-19,Comirnaty,16.32,00:01:46,2,8,1.74
2026-08-19,Comirnaty,5.37,00:02:16,2,8,0.0
2026-08-19,Comirnaty,2.69,00:02:46,2,8,0.0
2026-08-19,Comirnaty,2.1,00:03:16,2,8,0.0
2026-08-19,Comirnaty,12.12,00:03:46,2,8,1.79
2026-08-19,Comirnaty,4.9,00:04:16,2,8,0.0
2026-08-19,Comirnaty,9.49,00:04:46,2,8,1.81
2026-08-19,Comirnaty,6.07,00:05:16,2,8,0.0
2026-08-19,Comirnaty,7.86,00:05:46,2,8,0.0
2026-08-19,Comirnaty,11.59,00:06:16,2,8,1.84
2026-08-19,Comirnaty,4.55,00:06:46,2,8,0.0
2026-08-19,Comirnaty,9.69,00:07:16,2,8,1.86
2026-08-19,Comirnaty,3.68,00:07:46,2,8,0.0
2026-08-19,Comirnaty,14.37,00:08:16,2,8,1.89
2026-08-19,Comirnaty,5.78,00:08:46,2,8,0.0
