Date,MedicineName,Temperature,Timestamp,OptimalMin,OptimalMax,PotencyLoss
2026-08-19,HepatitisB,17.85,22:41:16,2,8,0.0
2026-08-19,HepatitisB,12.03,22:41:46,2,8,0.01
2026-08-19,HepatitisB,15.42,22:42:16,2,8,0.02
2026-08-19,HepatitisB,5.31,22:42:46,2,8,0.0
2026-08-19,HepatitisB,4.13,22:43:16,2,8,0.0
2026-08-19,HepatitisB,7.42,22:43:46,2,8,0.0
2026-08-19,HepatitisB,17.51,22:44:16,2,8,0.07
2026-08-19,HepatitisB,4.27,22:44:46,2,8,0.0
2026-08-19,HepatitisB,5.54,22:45:16,2,8,0.0
2026-08-19,HepatitisB,2.9,22:45:46,2,8,0.0
2026-08-19,HepatitisB,5.46,22:46:16,2,8,0.0
2026-08-19,HepatitisB,16.75,22:46:46,2,8,0.12
2026-08-19,HepatitisB,14.09,22:47:16,2,8,0.13
2026-08-19,HepatitisB,2.88,22:47:46,2,8,0.0
2026-08-19,HepatitisB,7.75,22:48:16,2,8,0.0
2026-08-19,HepatitisB,6.69,22:48:46,2,8,0.0
2026-08-19,HepatitisB,10.75,22:49:16,2,8,0.17
2026-08-19,HepatitisB,10.3,22:49:46,2,8,0.18
2026-08-19,HepatitisB,3.53,22:50:16,2,8,0.0
2026-08-19,HepatitisB,17.74,22:50:46,2,8,0.21
2026-08-19,HepatitisB,9.5,22:51:16,2,8,0.22
2026-08-19,HepatitisB,14.42,22:51:46,2,8,0.23
2026-08-19,HepatitisB,7.08,22:52:16,2,8,0.0
2026-08-19,HepatitisB,4.01,22:52:46,2,8,0.0
2026-08-19,HepatitisB,6.87,22:53:16,2,8,0.0
2026-08-19,HepatitisB,7.99,22:53:46,2,8,0.0
2026-08-19,HepatitisB,2.56,22:54:16,2,8,0.0
2026-08-19,HepatitisB,13.28,22:54:46,2,8,0.29
2026-08-19,HepatitisB,11.0,22:55:16,2,8,0.3
2026-08-19,HepatitisB,10.13,22:55:46,2,8,0.31
2026-08-19,HepatitisB,3.95,22:56:16,2,8,0.0
2026-08-19,HepatitisB,11.67,22:56:46,2,8,0.34
2026-08-19,HepatitisB,2.96,22:57:16,2,8,0.0
2026-08-19,HepatitisB,3.63,22:57:46,2,8,0.0
2026-08-19,HepatitisB,2.44,22:58:16,2,8,0.0
2026-08-19,HepatitisB,5.39,22:58:46,2,8,0.0
2026-08-19,HepatitisB,2.89,22:59:16,2,8,0.0
2026-08-19,HepatitisB,3.07,22:59:46,2,8,0.0
2026-08-19,HepatitisB,14.59,23:00:16,2,8,0.41
2026-08-19,HepatitisB,2.87,23:00:46,2,8,0.0
2026-08-19,HepatitisB,2.78,23:01:16,2,8,0.0
2026-08-19,HepatitisB,2.85,23:01:46,2,8,0.0
2026-08-19,HepatitisB,13.28,23:02:16,2,8,0.45
2026-08-19,HepatitisB,7.57,23:02:46,2,8,0.0
2026-08-19,HepatitisB,5.4,23:03:16,2,8,0.0
2026-08-19,HepatitisB,2.41,23:03:46,2,8,0.0
2026-08-19,HepatitisB,4.76,23:04:16,2,8,0.0
2026-08-19,HepatitisB,15.63,23:04:46,2,8,0.51
2026-08-19,HepatitisB,15.77,23:05:16,2,8,0.52
2026-08-19,HepatitisB,2.24,23:05:46,2,8,0.0
2026-08-19,HepatitisB,6.35,23:06:16,2,8,0.0
2026-08-19,HepatitisB,5.87,23:06:46,2,8,0.0
2026-08-19,HepatitisB,6.07,23:07:16,2,8,0.0
2026-08-19,HepatitisB,5.07,23:07:46,2,8,0.0
2026-08-19,HepatitisB,12.42,23:08:16,2,8,0.59
2026-08-19,HepatitisB,5.65,23:08:46,2,8,0.0
2026-08-19,HepatitisB,10.23,23:09:16,2,8,0.61
2026-08-19,HepatitisB,4.62,23:09:46,2,8,0.0
2026-08-19,HepatitisB,7.51,23:10:16,2,8,0.0
2026-08-19,HepatitisB,2.1,23:10:46,2,8,0.0
2026-08-19,HepatitisB,7.26,23:11:16,2,8,0.0
2026-08-19,HepatitisB,6.15,23:11:46,2,8,0.0
2026-08-19,HepatitisB,5.31,23:12:16,2,8,0.0
2026-08-19,HepatitisB,6.57,23:12:46,2,8,0.0
2026-08-19,HepatitisB,6.0,23:13:16,2,8,0.0
2026-08-19,HepatitisB,2.67,23:13:46,2,8,0.0
2026-08-19,HepatitisB,4.63,23:14:16,2,8,0.0
2026-08-19,HepatitisB,17.14,23:14:46,2,8,0.73
2026-08-19,HepatitisB,4.39,23:15:16,2,8,0.0
2026-08-19,HepatitisB,4.45,23:15:46,2,8,0.0
2026-08-19,HepatitisB,2.3,23:16:16,2,8,0.0
2026-08-19,HepatitisB,17.74,23:16:46,2,8,0.77
2026-08-19,HepatitisB,3.17,23:17:16,2,8,0.0
2026-08-19,HepatitisB,6.95,23:17:46,2,8,0.0
2026-08-19,HepatitisB,14.22,23:18:16,2,8,0.8
2026-08-19,HepatitisB,6.51,23:18:46,2,8,0.0
2026-08-19,HepatitisB,3.6,23:19:16,2,8,0.0
2026-08-19,HepatitisB,3.26,23:19:46,2,8,0.0
2026-08-19,HepatitisB,16.37,23:20:16,2,8,0.85
2026-08-19,HepatitisB,10.05,23:20:46,2,8,0.86
2026-08-19,HepatitisB,5.58,23:21:16,2,8,0.0
2026-08-19,HepatitisB,6.8,23:21:46,2,8,0.0
2026-08-19,HepatitisB,4.9,23:22:16,2,8,0.0
2026-08-19,HepatitisB,2.12,23:22:46,2,8,0.0
2026-08-19,HepatitisB,3.09,23:23:16,2,8,0.0
2026-08-19,HepatitisB,6.74,23:23:46,2,8,0.0
2026-08-19,HepatitisB,6.12,23:24:16,2,8,0.0
2026-08-19,HepatitisB,2.3,23:24:46,2,8,0.0
2026-08-19,HepatitisB,4.33,23:25:16,2,8,0.0
2026-08-19,HepatitisB,11.18,23:25:46,2,8,0.96
2026-08-19,HepatitisB,6.42,23:26:16,2,8,0.0
2026-08-19,HepatitisB,2.68,23:26:46,2,8,0.0
2026-08-19,HepatitisB,5.75,23:27:16,2,8,0.0
2026-08-19,HepatitisB,4.52,23:27:46,2,8,0.0
2026-08-19,HepatitisB,4.06,23:28:16,2,8,0.0
2026-08-19,HepatitisB,12.93,23:28:46,2,8,1.03
2026-08-19,HepatitisB,3.21,23:29:16,2,8,0.0
2026-08-19,HepatitisB,14.21,23:29:46,2,8,1.05
2026-08-19,HepatitisB,4.09,23:30:16,2,8,0.0
2026-08-19,HepatitisB,15.07,23:30:46,2,8,1.07
2026-08-19,HepatitisB,7.01,23:31:16,2,8,0.0
2026-08-19,HepatitisB,2.87,23:31:46,2,8,0.0
2026-08-19,HepatitisB,12.98,23:32:16,2,8,1.1
2026-08-19,HepatitisB,5.09,23:32:46,2,8,0.0
2026-08-19,HepatitisB,7.02,23:33:16,2,8,0.0
2026-08-19,HepatitisB,11.92,23:33:46,2,8,1.14
2026-08-19,HepatitisB,5.17,23:34:16,2,8,0.0
2026-08-19,HepatitisB,2.91,23:34:46,2,8,0.0
2026-08-19,HepatitisB,5.28,23:35:16,2,8,0.0
2026-08-19,HepatitisB,13.0,23:35:46,2,8,1.18
2026-08-19,HepatitisB,12.39,23:36:16,2,8,1.19
2026-08-19,HepatitisB,14.23,23:36:46,2,8,1.2
2026-08-19,HepatitisB,6.47,23:37:16,2,8,0.0
2026-08-19,HepatitisB,4.76,23:37:46,2,8,0.0
2026-08-19,HepatitisB,7.89,23:38:16,2,8,0.0
2026-08-19,HepatitisB,16.77,23:38:46,2,8,1.25
2026-08-19,HepatitisB,7.69,23:39:16,2,8,0.0
2026-08-19,HepatitisB,5.37,23:39:46,2,8,0.0
2026-08-19,HepatitisB,12.43,23:40:16,2,8,1.28
